cumGWinstalled,Year,produced
89.1289076220583,2012-01-01,89.1289076220583
121.70706006322446,2013-01-01,32.578152441166154
173.25254654021776,2014-01-01,51.545486476993304
224.7980330172111,2015-01-01,51.54548647699335
288.37372672989113,2016-01-01,63.57569371268002
391.20126448893575,2017-01-01,102.82753775904462
505.6199508254303,2018-01-01,114.41868633649455
619.2483315770987,2019-01-01,113.62838075166843
750.263435194942,2020-01-01,131.01510361784324
930.1896733403582,2021-01-01,179.92623814541628
1161.397962767826,2022-01-01,231.20828942746766
1428.03,2023-01-01,266.63203723217407
1756.4769,2024-01-01,328.4468999999999
2160.466587,2025-01-01,403.989687
2657.3739020099997,2026-01-01,496.9073150099998
3268.5698994722998,2027-01-01,611.1959974623
4020.340976350929,2028-01-01,751.7710768786292
4945.019400911642,2029-01-01,924.6784245607132
6082.373863121319,2030-01-01,1137.354462209677
6751.434988064665,2031-01-01,669.0611249433459
7494.092836751778,2032-01-01,742.6578486871131
8318.443048794474,2033-01-01,824.3502120426956
9233.471784161868,2034-01-01,915.0287353673939
10249.153680419675,2035-01-01,1015.6818962578072
11376.56058526584,2036-01-01,1127.4069048461643
12627.982249645083,2037-01-01,1251.4216643792442
14017.060297106042,2038-01-01,1389.0780474609583
15558.93692978771,2039-01-01,1541.8766326816676
17270.41999206436,2040-01-01,1711.4830622766494
19170.16619119144,2041-01-01,1899.746199127083
21278.8844722225,2042-01-01,2108.7182810310587
23619.561764166978,2043-01-01,2340.6772919444775
26217.713558225347,2044-01-01,2598.151794058369
29101.662049630137,2045-01-01,2883.94849140479
32302.844875089453,2046-01-01,3201.1828254593165
35856.1578113493,2047-01-01,3553.3129362598484
39800.335170597726,2048-01-01,3944.177359248424
44178.37203936348,2049-01-01,4378.036868765754
49037.99296369346,2050-01-01,4859.620924329982
